index=1634,psnr=22.633235324031965dB
index=1635,psnr=28.199636802258688dB
index=1635,psnr=32.01317463943556dB
index=1637,psnr=24.62872549001623dB
index=1638,psnr=23.700913678814622dB
index=1639,psnr=22.614182451643824dB
index=1640,psnr=29.934332200366107dB
index=1641,psnr=23.48752224618069dB
index=1641,psnr=33.11475346740107dB
index=1642,psnr=33.241283861611386dB
index=1643,psnr=33.568723745810885dB
index=1644,psnr=33.75273576607753dB
index=1645,psnr=34.30716161478185dB
index=1647,psnr=18.701485974594963dB
index=1647,psnr=33.89930054764767dB
index=1648,psnr=33.53084642966262dB
index=1649,psnr=33.67107896506502dB
index=1650,psnr=33.643372767058025dB
index=1651,psnr=33.80805661006966dB
index=1652,psnr=33.83378591657289dB
index=1653,psnr=33.95224856242687dB
index=1654,psnr=34.025846650478606dB
index=1656,psnr=20.43047160750138dB
index=1656,psnr=34.43715220622383dB
index=1657,psnr=34.78409099342036dB
index=1658,psnr=35.14017508413962dB
index=1659,psnr=35.18328409783278dB
index=1661,psnr=26.00846981050157dB
index=1661,psnr=35.40203955813796dB
index=1662,psnr=35.52983695259258dB
index=1663,psnr=35.64136183259495dB
index=1664,psnr=35.83160981024469dB
index=1665,psnr=35.91167070938593dB
index=1667,psnr=34.39794946220801dB
index=1667,psnr=36.130292912001536dB
index=1668,psnr=36.33612950268531dB
index=1669,psnr=36.46771267499673dB
index=1670,psnr=36.50410345029758dB
index=1671,psnr=36.55923133650263dB
index=1672,psnr=36.59423318792805dB
index=1673,psnr=36.74104539472087dB
index=1674,psnr=36.74877467871316dB
index=1675,psnr=36.78637530026152dB
index=1676,psnr=36.910717448247034dB
index=1677,psnr=36.87793307780031dB
index=1678,psnr=36.93628196765075dB
index=1680,psnr=35.44854504093451dB
index=1680,psnr=37.070173520617914dB
index=1682,psnr=36.222671767978724dB
index=1682,psnr=37.12451611369292dB
index=1683,psnr=37.11419428238337dB
index=1684,psnr=37.15188768621811dB
index=1685,psnr=37.11581163038193dB
index=1686,psnr=37.113823957075574dB
index=1688,psnr=36.23504696316089dB
index=1689,psnr=36.400890043671254dB
index=1690,psnr=36.247761945603486dB
index=1690,psnr=37.109589419098135dB
index=1691,psnr=37.1526752286084dB
index=1693,psnr=35.854130138900516dB
index=1693,psnr=37.210719215882186dB
index=1694,psnr=37.19490780041868dB
index=1695,psnr=37.18710761405331dB
index=1696,psnr=37.163049591876145dB
index=1697,psnr=37.18328286219883dB
index=1699,psnr=36.05579712890721dB
index=1699,psnr=37.160371363193555dB
index=1700,psnr=37.18057715544348dB
index=1701,psnr=37.1742196565063dB
index=1702,psnr=37.206240887747526dB
index=1703,psnr=37.25735916290492dB
index=1704,psnr=37.26221233405642dB
index=1705,psnr=37.23696338775781dB
index=1706,psnr=37.284703502462946dB
index=1707,psnr=37.2584472656202dB
index=1708,psnr=37.2074049897074dB
index=1709,psnr=37.19274110389268dB
index=1710,psnr=37.168846753445905dB
index=1711,psnr=37.161030578389884dB
index=1712,psnr=37.16611486492321dB
index=1714,psnr=36.27105795192341dB
index=1715,psnr=36.06934975507838dB
index=1715,psnr=37.19190922743934dB
index=1717,psnr=36.541911614838945dB
index=1717,psnr=37.213447125849314dB
index=1718,psnr=37.26326773536392dB
index=1720,psnr=37.19660158723683dB
index=1720,psnr=37.281408308368896dB
index=1721,psnr=37.271797676273884dB
index=1722,psnr=37.28666251834168dB
index=1724,psnr=7.039968317202302dB
index=1726,psnr=24.14050947118249dB
index=1727,psnr=25.831575367480948dB
index=1728,psnr=25.710063891753517dB
index=1728,psnr=26.219355668049232dB
index=1729,psnr=26.338854857796136dB
index=1731,psnr=26.124749234898275dB
index=1731,psnr=26.6239131829741dB
index=1733,psnr=26.260152352890426dB
index=1734,psnr=26.134763798016678dB
index=1735,psnr=26.44987120871839dB
index=1736,psnr=26.56519074421487dB
index=1737,psnr=26.55886586454347dB
index=1738,psnr=26.679464419357565dB
index=1740,psnr=25.68291974210365dB
index=1741,psnr=25.944068284384336dB
index=1742,psnr=26.014434557655957dB
